FixedFormatFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"怪物ID，（定义规则：NXXXYYZZZ；  N为大类，1测试；2地图怪物，3副本怪物，4NPC，5功能型；XXX为所在地图ID；  YY为子类型，N=2,3时，00为小怪，02为首领；N=4时，应为00；N=5时，01表示传送；   ZZZ为编号）",怪物名（可不填，仅为方便脚本配置人员了解是哪个怪物）,怪物模型资源名字，字符串，用于显示,模型厚度比例x,模型身高比例y,模型宽度比例z,模型颜色红色,模型颜色绿色,模型颜色蓝色,模型透明度,怪物头像图片资源名字，字符串,调色板ID（造型相同的怪物颜色不同）,AI信息的ID,"类型, 10：一般怪物，11：不可被攻击的怪物",怪物的种族,怪物的派别,不填为小怪；2为头领；3为稀有；4为护卫；5为BOSS；6为BBOSS头领；7为囚笼；,是否被过滤,怪物的等级,阵营（0：全门派友善； 123：对应门派ID，与本门派友善，与其它门派敌对； 11；全门派敌对）， 注：玩家和玩家召唤的宠物的静态阵营ID都是其所属门派ID,能否被选中，0：表示可以被选中，1：表示不能被选中,为1表示可以对话,怪物的视野，单位：米,为1表示不接受事件,怪物被杀死后，玩家获得的金钱，绑定,怪物可被攻击的半径，用于建筑等体积巨大的物件,怪物占位的半径：单位：分米,为1表示生物无占位,相对回归半径,绝对回归半径,时间回归，单位：毫秒,为1表示回归时不回血,基本移动速度，单位：x毫秒/米,基础攻击速度，单位：x毫秒/次,怪物的奖励归属类型，1：最后的攻击者拥有奖励，2：第一个攻击者拥有奖励，3：持续攻击者拥有奖励，4：指定奖励拥有者，5：最后的玩家攻击者拥有奖励（宠物、召唤兽等杀死不算），6：按伤害比例进行计算怪物归属，7：队伍分配时随机选择队员获得奖励,怪物掉落ID的集合，形如：ID1+ID2+ID3,技能索引集合，形如：Index1+Index2+Index3,对应技能使用概率的集合，千分比，形如：Prob1+Prob2+Prob3,怪物属性，配合技能使用,怪物出生动画光效,功能集(1、任务 2、传送 3、任务 8、商店 10、寄售 20、法宝炼制 40、法宝经验 80、法宝替换 100、排行版 200、激活码信息),每个功能对应的功能ID,怪物势力,性别(1男，2女),AI跟踪,怪物称号,头顶图片,骑乘动画（坐骑专用）,移动动画（坐骑专用）,休闲动画（坐骑专用）,属性计算公式类型ID，10000001是幻兽公式,对应采集物ID,魂数量，搜魂灯使用,特殊死亡动画机率(1000分制),特殊死亡动画,荣誉点,是否不消耗亲朋金币(1表示不消耗，0表示消耗亲朋币),击杀率下限(1-1000),击杀率上限(1-1000),免伤率
MonsterID,MonsterName,ModelRes,ModelScaleX,ModelScaleY,ModelScaleZ,ModelColour_Red,ModelColour_Green,ModelColour_Blue,ModelTransparency,HeadRes,PaletteID,AIInfoID,Type,Race,Faction,IsBOSS,IsFilter,Level,Camp,CanSelectedState,CanTalk,EyeShot,NotAcceptEvent,GetMoneyBind,BeAttackRadiu,BuildRadius,NoOccupant,ReturnRadiusRel,ReturnRadiusAbs,TimeReturn,RetNotRecovery,Speed_B,AttackSpeed_B,Award_Adscription,DropIDSet,SkillIndexSet,SkillProbSet,MonsterProp,BornAnimation,AbilitySet,AbilityID,AreaName,Sex,AiTrack,MonsterTitle,CrownRes,RideAnimation,RunAnimation,ShowAnimation,PropCalcTypeID,CollectID,HunCount,SpecialDeathAnimProb,SpecialDeathAnim,RongYuPoints,IsNotCostMoney,KillRateMin,KillRateMax,MissRate
10000000,测试专用,MST_25_YL_01.eqs,100,100,100,,,,,,,0,10,,,1,,100,11,,,0,,,,5,,0,0,,,0,0,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,测试专用,,,,,101,,,900,TY_oth_baozha_2_siwang,20,1,2,2,5
10000001,测试专用,MST_09_SZSW_01.eqs,100,100,100,,,,,,,0,10,,,1,,50,11,,,0,,,,5,,0,0,,,0,0,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,1,2,2,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000002,幻剑召唤怪-幻兽,zhaohuanlong.eqs,100,100,100,,,,,,,310,11,,,1,1,30,0,1,,15,,,,5,,14,14,,,600,2000,3,,8,1000,,,,,,,,,,,,,10000001,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000003,九黎后裔,MST_10_BHXW_01.eqs,80,80,80,,,,,,,1,10,,,1,,30,0,,,15,,,,5,,5,5,,,400,2000,3,,4,1000,,,,,渺云仙翁,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000004,海眼狮吼兽,HJ01.eqs,80,80,80,,,,,,,1,10,,,1,,30,0,,,15,,,,5,,5,5,,,400,2000,3,,4,1000,,,,,渺云仙翁,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000005,化形人狼,HJ02.eqs,80,80,80,,,,,,,1,10,,,1,,30,0,,,15,,,,5,,5,5,,,400,2000,3,,4,1000,,,,,渺云仙翁,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000006,羲皇遗民,HJ03.eqs,80,80,80,,,,,,,1,10,,,1,,30,0,,,15,,,,5,,5,5,,,400,2000,3,,4,1000,,,,,渺云仙翁,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
